publisher,isbn
Penguin Publishing Group,9780593334836
G.P. Putnam's Sons,9780735219106
Grand Central Publishing,9781538724736
Little Brown & Company,9780316499378
Berkley Books,9781984806758
Grand Central Publishing,9781538719770
Atria Books,9781501133572
St. Martin's Press,9781250279255
"Blackstone Audio, Incorporated",9780063037328
Penguin Books,9780143127741
"Crown Publishing Group, The",9780593138090
Simon & Schuster,9781982172480
Milkweed Editions,9781571313560
William Morrow,9780063144316
Anchor,9781400032808
Knopf Publishing Group,9780525657743
Little Brown & Company,9780316499378
Grand Central Publishing,9781538719770
Atria Books,9781501133572
"Little, Brown and Company",9780759554344
Viking,9780525559474
HarperCollins Publishers,9780063003057
Tor Books,9781250812193
Simon & Schuster,9781501171345
St. Martin's Press,9781250278364
St. Martin's Press,9781250279255
"Blackstone Audio, Incorporated",9780063037328
"Crown Publishing Group, The",9780593138090
Simon & Schuster,9781982172480
William Morrow,9780063144316
Knopf Publishing Group,9780525657743
Potter/Ten Speed/Harmony/Rodale,9780593139134
Flatiron Books:,9781250223180
Penguin Publishing Group,9780593334836
G.P. Putnam's Sons,9780735219106
Grand Central Publishing,9781538724736
Berkley Books,9781984806758
Berkley,9780593336823
Atria Books,9781501193323
Berkley,9781984806734
Ecco,9780062060624
Penguin Books,9780143127741
Milkweed Editions,9781571313560
Harper Paperbacks,9780060959470
Anchor,9781400032808
Simon & Schuster,9781982115869
Spiegel & Grau,9780399588198
Back Bay Books,9780316299220
Vintage,9780062316110
Spiegel & Grau,9780812984965
"Farrar, Straus and Giroux",9780374533557
Avery,9780735211292
Random House,9780399592553
HarperCollins Publishers,9780062976581
Potter/Ten Speed/Harmony/Rodale,9780593232552
Hachette Books,9780306923043
HarperCollins Publishers,9780063225886
Harper One,9780062457714
Alfred A. Knopf,9780375869020
"Holt & Company, Henry",9781250174949
Atheneum/Caitlyn Dlouhy Books,9781534418165
Disney-Hyperion,9781368077927
Margaret K. McElderry Books,9781665900706
Simon & Schuster Children's Publishing,9781665902168
Levine Querido,9781646140893
Random House Books for Young Readers,9780385376716
Dial Books for Young Readers,9780803736801
Orchard Books,9781338572315
World of Eric Carle,9780593226186
Feiwel & Friends,9781250823946
Penguin,9780399255373
Ember,9781984896391
Scholastic,9780590353427
Disney-Hyperion,9781484707234
Simon & Schuster,9781416968290
Scholastic Inc.,9781338347258
Bloomsbury USA,9781619630345
Random House Children's Books,9780593485859
St. Martin's Press,9781250244451
Penguin Teen,9780735269934
Wednesday Books,9781250762030
Simon & Schuster Books For Young Readers,9781534493797
Avery,9780735211292
Simon & Schuster,9781982153281
Penguin Publishing Group,9780593191484
Simon & Schuster,9781982160272
St. Martin's Press,9781250183866
"Farrar, Straus and Giroux",9780374533557
Scribner,9781501111112
Scribner,9781982179670
"Scholastic, Incorporated",9781338801941
VIZ Media LLC,9781974727100
Scholastic,9781338784855
VIZ Media LLC,9781974715466
Scholastic,9781338680454
Graphix,9781338730852
GRAPHIX,9781338712766
"Scholastic, Incorporated",9781338616040
GRAPHIX,9781338535624
VIZ Media LLC,9781974720149
Graphix,9781338741162
St. Martin's Paperbacks,9781250831705
Pocket Books,9781982104139
Anchor,9780593359532
Grand Central Publishing,9781538761663
Penguin Publishing Group,9780593439128
Harlequin Bestselling Author Collection,9781335406293
Kensington Publishing Corporation,9780786048847
Pocket Books,9781982189983
Grand Central Publishing,9781538700747
HarperCollins,9780061992278
Scholastic Press,9781338053807
Square Fish,9781250144058
Sandpiper,9780547577319
Aladdin,9781481480222
Greenwillow Books,9780062895943
Puffin,9780142426425
Square Fish,9781250091666
Atheneum Books for Young Readers,9781416971719
Ember,9780385741279
Random House Children's Books,9780593125014
"Sourcebooks, Incorporated",9781728236414
Alfred A. Knopf,9780375842207
Atheneum/Caitlyn Dlouhy Books,9781481438261
Ember,9781524700515
Simon & Schuster,9781501171369
Ballantine Books,9780593135204
G.P. Putnam's Sons,9780735219106
"Little, Brown and Company",9780316499347
Doubleday,9780385546577
Atria Books,9781501133541
Viking,9780525559474
St. Martin's Press,9781250178602
Berkley Books,9781984806758
Grand Central Publishing,9781538719671
Celadon Books,9781250301703
Ecco,9780062060624
Random House,9780399589010
St. Martin's Press,9781250273659
"Little, Brown Spark",9780316451406
Flatiron Books:,9781250223180
W. W. Norton & Company,9780393881554
Crown Publishing Group,9781984825407
Penguin Books,9780143127741
Potter/Ten Speed/Harmony/Rodale,9780593139134
"Little, Brown and Company",9780316296618
Viking,9780525557401
The Dial Press,9781984801258
Random House,9780593230251
Viking,9781984878106
Simon & Schuster,9781501171345
Ballantine Books,9780593135204
Doubleday,9780385546577
"Little, Brown and Company",9780316499347
Viking Books for Young Readers,9780593465271
Viking,9780525559474
Atria Books,9781501133541
St. Martin's Press,9781250178602
Grand Central Publishing,9781538719671
Tor Books,9780765387561
"Little, Brown and Company",9780316530231
Celadon Books,9781250790767
Random House,9781984855565
Delacorte Press,9781984821461
Random House,9780399589010
St. Martin's Press,9781250273659
Flatiron Books:,9781250223180
"Little, Brown Spark",9780316451406
Crown Publishing Group,9781984825407
Potter/Ten Speed/Harmony/Rodale,9780593139134
W. W. Norton & Company,9780393881554
"Little, Brown and Company",9780316296618
The Dial Press,9781984801258
Random House,9780593230251
Viking,9780525557401
Threshold Editions,9781982160746
Grand Central Publishing,9781538720479
Viking,9781984878106
G.P. Putnam's Sons,9780735219106
Ecco,9780062060624
Celadon Books,9781250301703
Berkley Books,9781984806758
Vintage,9781984898876
Penguin Books,9780399562495
Park Row,9780778389385
Back Bay Books,9780316556323
St. Martin's Griffin,9781250316776
Gallery Books,9781501128035
Andrews McMeel Publishing,9781449486808
Penguin Books,9780143127741
Spiegel & Grau,9780812984965
Beacon Press,9780807047415
Spiegel & Grau,9780399588198
WaterBrook Press,9781524763145
Vintage,9780307742483
"Farrar, Straus and Giroux",9780374533557
Vintage,9780062316110
W. W. Norton & Company,9780393356311
Milkweed Editions,9781571313560
Avid Reader Press / Simon & Schuster,9781982143350
"Little, Brown",9780316017930
Picador,9781250787651
HarperCollins Publishers,9780062976581
Avery,9780735211292
Dey Street Books,9780063053885
Broadside Books,9780063046597
Ecco,9780062802798
Grand Central Publishing,9781455570249
Harper One,9780062457714
Portfolio,9780593084649
"Little, Brown Books for Young Readers",9780316167581
Alfred A. Knopf,9780375869020
Harper,9780062991317
Scholastic Inc.,9781338732870
James Patterson and Chris Grabenstein,9780316500241
"Scholastic, Incorporated",9781338245752
HarperCollins Publishers,9780062975164
Delacorte Books for Young Readers,9780593303740
World of Eric Carle,9780593226186
Random House Books for Young Readers,9780385376716
HarperCollins,9780063054035
Dial Books,9780593323182
Kokila,9780525553366
HarperCollins Publishers Limited,9780062915627
"Roaring Brook Press, a division of Holtzbrinck Publishing",9781250203557
Square Fish,9781250027436
Amulet Books,9781419756979
Scholastic,9780590353427
Scholastic Press,9781338214543
Disney-Hyperion,9781484707234
Scholastic Inc.,9781338347241
"Little, Brown Books for Young Readers",9780316707046
HarperTeen,9780062872623
"Scholastic, Incorporated",9781338188363
"Little, Brown Books for Young Readers",9780316453691
Imprint,9781250142306
Flatiron Books,9781250766601
Hyperion Books for Children,9781484778203
Henry Holt and Co. (BYR),9781250766564
Balzer + Bray,9780062846716
Delacorte Press,9781984896407
Avery,9780735211292
Twelve,9781538737088
Doubleday,9780385545686
W. W. Norton & Company,9780393356311
Rodale Books,9780593232743
Knopf Doubleday Publishing Group,9780385546133
Workman Publishing Company,9781523505746
St. Martin's Press,9781250183866
"Farrar, Straus and Giroux",9780374533557
Scholastic,9781338680454
GRAPHIX,9781338712766
GRAPHIX,9781338535624
HarperAlley,9780063042636
"Scholastic, Incorporated",9781338304572
Scholastic,9781338236590
AFK,9781338629767
VIZ Media LLC,9781974715466
Ballantine Books,9780399181382
Dell,9780399179617
St. Martin's Press,9781250781383
G.P. Putnam's Sons,9780525539544
Grand Central Publishing,9781538764817
Berkley,9780593188071
Dell,9780593157770
Avon,9780062353658
HarperCollins Publishers,9780063078901
Silhouette,9781335230973
Pinnacle,9780786047888
HarperCollins,9780061992278
Sandpiper,9780547577319
Scholastic Press,9781338053807
Square Fish,9781250144058
Atheneum Books for Young Readers,9781416971719
Greenwillow Books,9780062895943
Puffin,9780142426425
Scholastic,9781338157826
"Little, Brown Books for Young Readers",9780316493796
Ember,9780385741279
Square Fish,9781250076960
Ember,9781984896391
Square Fish,9781250076977
Delacorte Press,9780593124970
Alfred A. Knopf,9780375842207
David Fickling Books,9780385751537
Atheneum/Caitlyn Dlouhy Books,9781481438261
Doubleday,9780385545938
G.P. Putnam's Sons,9780735219090
Penguin Books,9780735224315
Scribner,9781982137977
Grand Central Publishing,9781538761465
"Little, Brown and Company",9780316420280
Hogarth,9781984822185
Atria Books,9781501133510
Flatiron Books,9781250209764
Dell,9780399593567
"Riverhead Books, an imprint of Penguin Random House LLC",9781594634697
The Dial Press,9781984801258
Crown Publishing Group,9781524763138
"Crown, an imprint of Random House",9780385348713
Random House,9780399590504
Penguin Books,9780143036494
Doubleday Books,9780385543767
SKYHORSE,9781510752245
Penguin Books,9780143127741
Flatiron Books,9781250317476
Scribner,9781501111129
Twelve,9781538733301
Beacon Press,9780807047415
Vintage,9780062316110
G.P. Putnam's Sons,9780735219090
Doubleday,9780385545938
Scribner,9781982137977
Grand Central Publishing,9781538761465
"Little, Brown and Company",9780316420280
Atria Books,9781501133510
Flatiron Books,9781250209764
Grand Central Publishing,9781538748138
"Riverhead Books, an imprint of Penguin Random House LLC",9781594634697
"Viking, an imprint of Penguin Random House LLC",9780525429760
Ballantine Books,9781984819888
Delacorte Press,9780399179594
Viking,9780399562488
Mira,9780778309451
HarperCollins,9780062434029
The Dial Press,9781984801258
Crown Publishing Group,9781524763138
"Crown, an imprint of Random House",9780385348713
Random House,9780399590504
SKYHORSE,9781510752245
Flatiron Books,9781250317476
Doubleday Books,9780385543767
Twelve,9781538733301
HarperOne,9780062862754
Henry Holt and Co.,9781250252869
Gallery Books,9781501191916
St. Martin's Press,9781250230423
"Little, Brown and Company",9780316454483
"Little, Brown and Company",9780316478526
Hogarth,9781984822185
Penguin Books,9780735224315
Atria Books,9781501154652
Harper Paperbacks,9780062797155
Ballantine Books,9780425284704
W. W. Norton & Company,9780393356687
Back Bay Books,9780316556323
St. Martin's Griffin,9781250080400
Grand Central Publishing,9781538733721
Picador,9781250169440
Sourcebooks Landmark,9781492671527
Penguin Books,9780143127741
Penguin Books,9780143036494
Beacon Press,9780807047415
Vintage,9780062316110
Spiegel & Grau,9780399588198
Spiegel & Grau,9780812984965
Simon & Schuster,9781501168703
Milkweed Editions,9781571313560
Scribner,9781501111112
"Farrar, Straus and Giroux",9780374533557
Norton Trade Titles,9780393357455
"Little, Brown",9780316017930
Vintage,9780525563488
AMERICAN WEST BOOKS,9780062820181
WaterBrook,9780593192573
HarperCollins Publishers,9780062976581
William Morrow Cookbooks,9780062820150
Avery,9780735211292
Avery,9780593084564
Harper One,9780062457714
Hay House Inc.,9781401958459
WaterBrook,9781601429643
HarperOne,9780062982582
Harper,9780062991317
Sourcebook Explorer,9781492677697
Alfred A. Knopf,9780375869020
Jeff Kinney,9781419740275
Scholastic Press,9781338214604
Feiwel & Friends,9781250306869
"Little, Brown and Company",9780316523479
"Little, Brown and Company",9780316530415
Hyperion Books for Children,9781423199571
Random House Books for Young Readers,9780385376716
Dial Books for Young Readers,9780803736801
Penguin,9780399255373
HMH Books for Young Readers,9781328852137
Hyperion,9781484799673
Sourcebooks Wonderland,9781492669739
Dial,9780803741713
Scholastic,9780590353427
scholastic,9781338323214
Amulet Books,9781419739033
Scholastic,9781338305845
Scholastic Inc.,9781338347210
Disney-Hyperion,9781484707234
Scholastic Press,9780545670319
HarperTeen,9780062291639
Margaret K. McElderry Books,9781481431873
Quill Tree Books,9780062882769
Henry Holt and Company,9781250170996
"Balzer + Bray, an imprint of HarperCollinsPublishers",9780062498533
Simon & Schuster Books for Young Readers,9781534451568
Delacorte Press,9780525707967
Delacorte Press,9781984896360
Henry Holt Company,9781250170972
Avery,9780735211292
"Little, Brown Spark",9780316423328
"Farrar, Straus and Giroux",9780374533557
Alfred A. Knopf,9781524731663
"Little, Brown",9780316017930
St. Martin's Press,9781250183866
Scribner,9781501111112
Simon & Schuster,9781476795928
"Graphix logo, an imprint of Scholastic",9780545852500
First Second,9781250317469
Graphix/Scholastic,9780545326995
HarperCollins,9780062691194
"Graphix, an imprint of Scholastic",9781338315196
Graphix,9780545540629
Harperalley,9780062933676
GRAPHIX,9780545540605
Morrow Gift,9780062970701
Graphix,9780545132060
GRAPHIX,9781338538199
Houghton Mifflin Harcourt,9781328530820
"First Second, an imprint of Roaring Brook Press",9781250219954
First Second,9781250179500
VIZ Media LLC,9781421582702
Penguin Books,9780735224315
St. Martin's Paperbacks,9781250247094
Dell books,9781524797157
William Morrow Paperbacks,9780062678423
Silhouette,9781335145796
HarperCollins,9780061992278
Algonquin Young Readers,9781616207465
Candlewick,9780763680909
Balzer + Bray,9780062377029
Random House Books for Young Readers,9781984850829
Square Fish,9781250144058
Sandpiper,9780547577319
Harper,9780061962790
Ember,9780593118924
David Fickling Books,9780385751537
Delacorte Press,9780593124963
Ember,9780525580065
Scholastic Inc.,9781338576023
MTV Books,9781451696196
"Scholastic, Inc",9781338576016
Ember,9781524700515
Ember,9780553496710
"Little, Brown Books for Young Readers",9780316522700
G.P. Putnam's Sons,9780735219090
"Little, Brown and Company",9780316420266
Vintage,9781984898326
Dell,9780399593536
Grand Central Publishing,9781538761410
Delacorte Press,9780399179327
St. Martin's Press,9781250126108
Harper Paperbacks,9780062797155
Penguin Books,9780735224315
Flatiron Books,9781250110251
Simon & Schuster,9781501194290
Simon & Schuster,9781501168680
Random House,9780399590504
Crown Publishing Group,9781524763138
Henry Holt and Co.,9781627790437
Knopf,9781101947869
William Morrow,9780062863157
Random House,9780812993264
Houghton Mifflin Harcourt,9781328662057
Hachette Books,9780316528085
Spiegel & Grau,9780525511779
Vintage,9780062316110
G.P. Putnam's Sons,9780735219090
"Little, Brown and Company",9780316420266
Bantam,9780525484707
Grand Central Publishing,9781538761410
Delacorte Press,9780399179327
Flatiron Books,9781250110251
St. Martin's Press,9781250126108
G.P. Putnam's Sons,9780525536581
Bantam Books,9781524796280
Hogarth,9781984822178
G.P. Putnam's Sons,9780525535942
Celadon Books,9781250301697
Ballantine Books,9781524796372
G.P. Putnam's Sons,9780525536642
Knopf,9781101947883
Simon & Schuster,9781501194290
Simon & Schuster,9781501168680
Crown Publishing Group,9781524763138
Random House,9780399590504
Henry Holt and Co.,9781627790437
Random House,9780812993264
William Morrow,9780062863157
Knopf,9781101947869
Spiegel & Grau,9780525511779
Hachette Books,9780316528085
Atria Books,9781501133152
Grand Central Publishing,9781538748848
"Little, Brown and Company",9780316409131
Houghton Mifflin Harcourt,9781328662057
Vintage,9781984898326
Penguin Books,9780735224315
Harper Paperbacks,9780062797155
William Morrow Paperbacks,9780062678423
Gallery/Scout Press,9781501156250
Penguin Books,9780735220690
Penguin Books,9780143110439
Grand Central Publishing,9781538731758
St. Martin's Griffin,9781250161604
Grand Central Publishing,9781538713761
Vintage,9780525436140
W. W. Norton & Company,9780393356687
Park Row,9780778330271
Forge,9781250225375
St. Martin's Griffin,9781250316776
Spiegel & Grau,9780399588198
Vintage,9780062316110
Penguin Books,9780735224155
Beacon Press,9780807047415
Penguin Books,9780143127741
Random House Trade Paperbacks,9780399589829
Nelson Books,9780718022129
Spiegel & Grau,9780812984965
Melville House,9781612197814
Scribner,9781501111112
Picador,9781250076229
Scribner,9781501144325
Vintage,9780307742483
Harper One,9780062457714
Grand Central Publishing,9781455570249
Thomas Nelson,9781400201655
HarperCollins Leadership,9781400209606
Avery,9781592408412
St. Martin's Press,9781250114945
Hazelden,9781592858491
Jeff Kinney,9781419740275
Alfred A. Knopf,9780375869020
jimmy patterson,9780316411561
Harper,9780062335562
Disney,9781368013840
Quirk Books,9781683691136
Random House Books for Young Readers,9780385376716
Tommy Nelson,9781400314225
Dial Books for Young Readers,9780803736801
Kokila,9780525553366
Penguin,9780399255373
Dial,9780803741713
HarperCollins,9780062422514
Graphix,9781338236576
Teagan Stevens,9781419727436
Scholastic,9780590353427
Scholastic,9781338271508
Flatiron Books,9781250157669
Hyperion Books for Children,9780786838653
Grosset & Dunlap,9780448449074
Candlewick,9781536206869
Scholastic,9780545912402
Simon & Schuster Books for Young Readers,9781534437333
"Balzer + Bray, an imprint of HarperCollinsPublishers",9780062498533
HarperTeen,9780062662835
Wednesday Books,9781250299253
Farrar Straus Giroux,9780374311544
Margaret K. McElderry Books,9781481495080
Balzer + Bray,9780062498564
Scholastic Press,9781338268461
Henry Holt Company,9781250170972
Random House Audio,9781415900642
Alfred A. Knopf,9781524731663
Celadon Books,9781250217707
Simon & Schuster,9781501124020
Avery,9780735211292
HarperBusiness,9780062839268
Dey Street Books,9780062911735
St. Martin's Press,9781250183866
Scribner,9781501111112
"Farrar, Straus and Giroux",9780374533557
Vintage,9780062316110
Penguin Books,9780143127741
St. Martin's Press,9781250153739
Tim Duggan Books,9780525576709
Scribner,9781501144325
Henry Holt and Co.,9781250178268
Houghton Mifflin Harcourt,9781328879981
"Farrar, Straus and Giroux",9780374533557
Picador,9781250076229
Celadon Books,9781250217707
Doubleday,9780385541015
Penguin Books,9780143133872
Eamon Dolan/Mariner Books,9781328592798
St. Martin's Press,9781250184382
Scribner,9781501135927
Simon & Schuster,9781501126444
Houghton Mifflin Harcourt,9781328589354
Grand Central Publishing,9781538713822
Grand Central Publishing,9781538730874
St. Martin's Press,9781250126061
Anchor Books,9780385490818
Penguin Books,9780525505310
Flatiron Books,9781250192455
Vintage,9780062316110
HarperCollins,9780062319784
Vintage,9780307742483
Random House,9780399590504
Harper Paperbacks,9780062300553
Delacorte Press,9781101884034
Grand Central Publishing,9781538761397
St. Martin's Press,9781250126061
Ballantine Books,9780425284681
Penguin Press,9780735224292
Deckle Edge,9780525521198
William Morrow,9780062678416
St. Martin's Press,9780312577230
Scribner,9781476756554
Flatiron Books,9781250192455
HarperCollins,9780062319784
Random House,9780399590504
W. W. Norton & Company,9780393652109
Harper,9780062802187
Anchor Books,9780385490818
Andrews McMeel Publishing,9781449474256
Andrews McMeel Publishing,9781449486792
Anchor Books,9780345803788
Grand Central Publishing,9781455524174
Broadway Books,9780307887443
Gallery/Scout Press,9781501132957
Ballantine Books,9780345544971
Scribner,9781501173219
Scribner,9781501126079
St. Martin's Griffin,9781250123084
Grand Central Publishing,9781455563920
Gallery/Scout Press,9781501156205
Vintage,9780062316110
Vintage,9780307742483
Harper Paperbacks,9780062300553
Picador,9781250076229
"Farrar, Straus and Giroux",9780374533557
Spiegel & Grau,9780812984965
Vintage Books,9780375725609
BROADWAY   ,9780553447453
"Little, Brown",9780316017930
Random House,9780812981605
Scribner,9780743247542
New Press,9781595586438
William Morrow Cookbooks,9780062820150
Harper One,9780062457714
Northfield Publishing,9780802412706
Thomas Nelson,9781400201655
Grand Central Publishing,9781455570249
Thomas Nelson,9780718078133
Simon & Schuster,9781501124020
Alfred A. Knopf,9780375869020
HarperCollins Publishers,9780062414151
"Little, Brown Books for Young Readers",9780316381994
Macmillan publishing,9781250043221
Harper,9780062335524
Rick Riordan Presents,9781368012355
Chronicle Books,9781452173801
Random House Books for Young Readers,9780385376716
Compendium Inc.,9781938298073
Alfred A. Knopf,9780385753845
Dial Books for Young Readers,9780803736801
World of Eric Carle,9781524785895
Hyperion,9781484799673
"Harper Teen, an imprint of HarperCollinsPublishers",9780062422996
Scholastic,9780545935180
Disney/Hyperion,9781484746431
Amulet Books,9781419725456
Scholastic,9780590353427
Scholastic Inc.,9780545499088
Scholastic,9781534405608
Hyperion Books for Children,9780786838653
"Balzer + Bray, an imprint of HarperCollinsPublishers",9780062498533
Henry Holt Company,9781250170972
Dutton Books for Young Readers,9780525555360
Penguin Random House Audio Publishing Group,9781524780685
"Little, Brown and Company",9781478975311
HarperAudio,9780062802248
Simon & Schuster,9781501124020
SCRIBNER,9781501111105
St. Martin's Press,9781250103505
Random House,9780812981605
Riverhead Books,9780735210622
"Farrar, Straus and Giroux",9780374533557
Bantam; 10th anniversary edition,9780553380163
Harper,9780062316097
"Viking, an imprint of Penguin Random House LLC",9780525427575
Picador,9781250076229
Hachette Books,9780316484152
Random House,9780812981605
Riverhead Books,9780735210622
WaterBrook,9780735289888
Penguin Books,9780143125471
Dey Street Books,9780062675477
Houghton Mifflin Harcourt,9780544617056
Penguin Books,9780143109396
